id,author,dynasty,genre,filename
100000,任仁发,元,人物,元 任仁发 31.4×37.5_id=100000_.jpg
100002,任仁发,元,花鸟,元 任仁发 人马图(全卷) 绢本29.2x136克里夫兰_id=100002_.jpg
100004,任仁发,元,人物,B_id=100004_.jpg
100005,任仁发,元,人物,元 任仁发 张果见明皇图(全卷)绢本41.5x107.3北京故宫_id=100005_.jpg
100006,任仁发,元,人物,元 张果 见明皇图卷 绢本41.5x210.7cm_id=100006_.jpg
100007,任仁发,元,人物,张果见明皇图卷-代绢ok_id=100007_.jpg
100008,倪瓒,元,山水,元 倪瓒 古木业篁图33x82_id=100008_.jpg
100009,倪瓒,元,山水,元 倪瓒 古木竹石图轴 纸本64.3x37.3_id=100009_.jpg
100010,倪瓒,元,山水,元 倪瓒 安处斋图卷纸本29×605_id=100010_.jpg
100011,倪瓒,元,山水,元 倪瓒 容膝斋图轴纸本74.7x35.5_id=100011_.jpg
100012,倪瓒,元,山水,元 倪瓒 幽涧寒松图轴纸本 59.7x50.4_id=100012_.jpg
100013,倪瓒,元,山水,元 倪瓒 江渚风林图轴  59.1X31.1cm 大都会_id=100013_.jpg
100014,倪瓒,元,山水,元 倪瓒 疏林图轴68x57日本_id=100014_.jpg
100015,倪瓒,元,山水,元 倪瓒 筠石乔柯图轴67.3×36.8克利夫兰馆藏　_id=100015_.jpg
100016,倪瓒,元,山水,元 倪瓒 紫芝山房图轴80.5x34.8台北故宫_id=100016_.jpg
100020,倪瓒,元,山水,元 倪瓒 水竹居图纸本55.5x28.2_id=100020_.jpg
100021,倪瓒,元,山水,元 倪瓒 古木竹石图轴(货单)64.3x37.3北京_id=100021_.jpg
100023,倪瓒,元,山水,元  倪瓒 容膝斋图_id=100023_.jpg
100025,倪瓒,元,山水,元 倪瓒 林亭远岫图轴(货单)87.3x31.4故宫_id=100025_.jpg
100027,倪瓒,元,花鸟,元 倪瓒 枯木幽篁图轴纸本88.6x30北京_id=100027_.jpg
100029,倪瓒,元,花鸟,元 倪瓒 梧竹秀石图轴纸本96X36.5_id=100029_.jpg
100031,倪瓒,元,山水,元 倪瓒 秋亭嘉树图(货单)纸本34.3x144_id=100031_.jpg
100035,倪瓒,元,人物,小像2_id=100035_.jpg
100037,倪瓒,元,人物,画心_id=100037_.jpg
100039,李竹衍,元,花鸟,元 1李竹衍 竹枝圖_id=100039_.jpg
100040,高克恭,元,山水,元 2高克恭 夏山過雨圖_id=100040_.jpg
100041,王冕,元,花鸟,元 3王冕 幽谷先春圖_id=100041_.jpg
100042,柯九思,元,花鸟,元 4柯九思 竹石圖y_id=100042_.jpg
100043,朱德潤,元,山水,元 5朱德潤 松礀橫琴圖_id=100043_.jpg
